	14LRNDecember201616S	14LRNDecember201716S	14LRNJune201716S	14LRNMarch201716S	14LRNMarch201816S	14LRNSeptember201716S	14RRXAugust201616S	14RRXDecember201616S	14RRXDecember201716S	14RRXJune201716S	14RRXMarch201716S	14RRXMarch201816S	14RRXSeptember201716S	18LXNAugust201616S	18LXNDecember201616S	18LXNDecember201716S	18LXNJune201716S	18LXNMarch201716S	18LXNMarch201816S	18LXNSeptember201716S	18RXXAugust201616S	18RXXDecember201716S	18RXXJune201716S	18RXXMarch201716S	18RXXMarch201816S	18RXXSeptember201716S	20LRXAugust201616S	20LRXDecember201616S	20LRXDecember201716S	20LRXJune201716S	20LRXMarch201716S	20LRXMarch201816S	20LRXSeptember201716S	20RRNDecember201616S	20RRNDecember201716S	20RRNJune201716S	20RRNMarch201716S	20RRNMarch201816S	20RRNSeptember201716S	22LXXAugust201616S	22LXXDecember201616S	22LXXDecember201716S	22LXXJune201716S	22LXXMarch201716S	22LXXMarch201816S	22LXXSeptember201716S	22RXNAugust201616S	22RXNDecember201616S	22RXNDecember201716S	22RXNJune201716S	22RXNMarch201716S	22RXNMarch201816S	22RXNSeptember201716S	25LRXAugust201616S	25LRXDecember201616S	25LRXDecember201716S	25LRXJune201716S	25LRXMarch201716S	25LRXMarch201816S	25LRXSeptember201716S	25RRNAugust201616S	25RRNDecember201616S	25RRNDecember201716S	25RRNJune201716S	25RRNMarch201716S	25RRNMarch201816S	25RRNSeptember201716S	27LXNAugust201616S	27LXNDecember201616S	27LXNDecember201716S	27LXNJune201716S	27LXNMarch201716S	27LXNMarch201816S	27LXNSeptember201716S	27RXXAugust201616S	27RXXDecember201616S	27RXXDecember201716S	27RXXJune201716S	27RXXMarch201716S	27RXXMarch201816S	27RXXSeptember201716S	32LXNAugust201616S	32LXNDecember201616S	32LXNDecember201716S	32LXNMarch201716S	32LXNMarch201816S	32LXNSeptember201716S	32RXXAugust201616S	32RXXDecember201616S	32RXXDecember201716S	32RXXJune201716S	32RXXMarch201716S	32RXXMarch201816S	32RXXSeptember201716S	35LRXAugust201616S	35LRXDecember201616S	35LRXDecember201716S	35LRXJune201716S	35LRXMarch201716S	35LRXMarch201816S	35LRXSeptember201716S	35RRNAugust201616S	35RRNDecember201616S	35RRNJune201716S	35RRNMarch201716S	35RRNMarch201816S	35RRNSeptember201716S	45LRXAugust201616S	45LRXDecember201616S	45LRXDecember201716S	45LRXJune201716S	45LRXMarch201716S	45LRXMarch201816S	45LRXSeptember201716S	45RRNAugust201616S	45RRNDecember201616S	45RRNDecember201716S	45RRNJune201716S	45RRNMarch201716S	45RRNMarch201816S	45RRNSeptember201716S	46LXNAugust201616S	46LXNDecember201616S	46LXNDecember201716S	46LXNJune201716S	46LXNMarch201716S	46LXNMarch201816S	46RXXAugust201616S	46RXXDecember201616S	46RXXDecember201716S	46RXXJune201716S	46RXXMarch201716S	46RXXMarch201816S	46RXXSeptember201716S	47LRNAugust201616S	47LRNDecember201616S	47LRNDecember201716S	47LRNJune201716S	47LRNMarch201716S	47LRNMarch201816S	47LRNSeptember201716S	47RRXAugust201616S	47RRXDecember201616S	47RRXDecember201716S	47RRXJune201716S	47RRXMarch201716S	47RRXMarch201816S	47RRXSeptember201716S	48LXXAugust201616S	48LXXDecember201616S	48LXXDecember201716S	48LXXJune201716S	48LXXMarch201716S	48LXXMarch201816S	48LXXSeptember201716S	48RXNAugust201616S	48RXNDecember201616S	48RXNDecember201716S	48RXNJune201716S	48RXNMarch201716S	48RXNMarch201816S	48RXNSeptember201716S	4LXXAugust201616S	4LXXDecember201616S	4LXXDecember201716S	4LXXJune201716S	4LXXMarch201716S	4LXXMarch201816S	4RXNAugust201616S	4RXNDecember201616S	4RXNDecember201716S	4RXNJune201716S	4RXNMarch201716S	4RXNMarch201816S	4RXNSeptember201716S	5LRNDecember201616S	5LRNDecember201716S	5LRNJune201716S	5LRNMarch201716S	5LRNMarch201816S	5LRNSeptember201716S	5RRXAugust201616S	5RRXDecember201616S	5RRXJune201716S	5RRXMarch201716S	5RRXMarch201816S	5RRXSeptember201716S	7LRXDecember201616S	7LRXDecember201716S	7LRXMarch201716S	7LRXMarch201816S	7LRXSeptember201716S	7RRNDecember201616S	7RRNDecember201716S	7RRNJune201716S	7RRNMarch201716S	7RRNMarch201816S	7RRNSeptember201716S	8LXXAugust201616S	8LXXDecember201616S	8LXXDecember201716S	8LXXMarch201716S	8LXXMarch201816S	8LXXSeptember201716S	8RXNAugust201616S	8RXNDecember201616S	8RXNDecember201716S	8RXNJune201716S	8RXNMarch201716S	8RXNMarch201816S	8RXNSeptember201716S
920ee7ed4a0c31bb66c482d4d29f5e7c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b3e5ee2001ba40aab3b22942f0667077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48f04cd9e0e57124a2bf5de293a0c8a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	54	64	85	0	0	0	0	0	116	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13b79370673883dcf19c5bdec548fe50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
942f188dfde89fb413fdbc3270658b2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0cc64ae0f961ce766c7a225dc9eb5e3d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a423a0b4a9ffbeabf7015e46a8727bf0	0	0	0	0	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	642	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0
381a173942d7337cf116b2b14cbf988e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
755425288678f570f376cc31f3d67d83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ac385dba43b43ca7825c0cbdefda2fd6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
